"","Country","PressFreedomScore","Giilndex2018","GDPpercapita"
"164","Saint Lucia",NA,0.333,10315
"165","Saint Vincent and the Grenadines",NA,NA,7378
"166","Dominica",NA,NA,7032
"167","Marshall Islands",NA,NA,3621
"168","Kiribati",NA,NA,1625
"169","Vanuatu",NA,NA,3033
"170","Solomon Islands",NA,NA,2163
"171","Côte d'Ivoire",NA,0.657,1716
"172","Nauru",NA,NA,9030
"173","Tuvalu",NA,NA,3701
